design,CP,WBITS,latency,interval,target_ns,estimated_ns,fmax_MHz,meets_300MHz,bw_GBps_at_300,LUT,LUT_pct,FF,FF_pct,DSP,DSP_pct,BRAM18K,BRAM18K_pct,URAM,URAM_pct,status
baseline_buffered,1,512,50,51,3.33,2.433,411.0,yes,19.2,4833,0.37,4795,0.18,0,0.0,38,0.94,0,0.0,ok
baseline_buffered,2,512,50,51,3.33,2.433,411.0,yes,38.4,9369,0.72,9471,0.36,0,0.0,76,1.88,0,0.0,ok
baseline_buffered,4,512,50,51,3.33,2.433,411.0,yes,76.8,18437,1.41,18823,0.72,0,0.0,152,3.77,0,0.0,ok
baseline_buffered,8,512,50,51,3.33,2.433,411.0,yes,153.6,36573,2.81,37527,1.44,0,0.0,304,7.54,0,0.0,ok
dataflow_overlap,1,512,28,28,3.33,2.433,411.0,yes,19.2,5331,0.41,5898,0.23,0,0.0,45,1.12,0,0.0,ok
dataflow_overlap,2,512,28,28,3.33,2.433,411.0,yes,38.4,10442,0.8,11629,0.45,0,0.0,90,2.23,0,0.0,ok
dataflow_overlap,4,512,28,28,3.33,2.433,411.0,yes,76.8,20656,1.58,23091,0.89,0,0.0,180,4.46,0,0.0,ok
dataflow_overlap,8,512,28,28,3.33,2.433,411.0,yes,153.6,41084,3.15,46015,1.76,0,0.0,360,8.93,0,0.0,ok
