function,config,device,period_ns,D,KP,DP,CP,latency,LUT,FF,DSP,BRAM18K,URAM,status
similarity,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,2,1,327685,631,413,0,0,0,ok
similarity,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,4,1,163846,642,416,0,0,0,ok
similarity,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,8,1,81926,686,417,0,0,0,ok
threshold,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,1,10243,121,80,0,0,0,ok
threshold,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,2,1,5123,160,79,0,0,0,ok
threshold,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,4,1,2564,250,174,0,0,0,ok
threshold,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,8,1,1283,394,81,0,0,0,ok
transpose,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,1,655363,274,87,0,0,0,ok
transpose,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,2,1,327683,269,84,0,0,0,ok
transpose,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,4,1,163843,264,81,0,0,0,ok
transpose,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,8,1,81923,259,78,0,0,0,ok
update,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,1,10245,193,104,0,0,0,ok
update,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,2,1,5125,230,172,0,0,0,ok
update,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,4,1,2565,306,304,0,0,0,ok
update,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,8,1,1286,474,569,0,0,0,ok
