P,bits,policy,seed,storage,auc,tpr_at_fpr,signal_mean,signal_std,noise_mean,noise_std,peak_count,bits_needed,overflowed
50,16,wrap,3,ap_int<16>,1.0,1.0,9875.44,685.44,2.804,674.154,26,6,0
50,16,wrap,4,ap_int<16>,1.0,1.0,9812.0,588.378,-12.64,708.039,30,6,0
50,16,saturate,0,ap_int<16>,1.0,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,16,saturate,1,ap_int<16>,1.0,1.0,10002.72,628.031,2.772,726.779,26,6,0
50,16,saturate,2,ap_int<16>,1.0,1.0,10082.08,643.065,0.088,685.679,28,6,0
50,16,saturate,3,ap_int<16>,1.0,1.0,9875.44,685.44,2.804,674.154,26,6,0
50,16,saturate,4,ap_int<16>,1.0,1.0,9812.0,588.378,-12.64,708.039,30,6,0
50,16,scale,0,ap_int<16>,1.0,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,16,scale,1,ap_int<16>,1.0,1.0,10002.72,628.031,2.772,726.779,26,6,0
50,16,scale,2,ap_int<16>,1.0,1.0,10082.08,643.065,0.088,685.679,28,6,0
50,16,scale,3,ap_int<16>,1.0,1.0,9875.44,685.44,2.804,674.154,26,6,0
50,16,scale,4,ap_int<16>,1.0,1.0,9812.0,588.378,-12.64,708.039,30,6,0
50,32,wrap,0,ap_int<32>,1.0,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,32,wrap,1,ap_int<32>,1.0,1.0,10002.72,628.031,2.772,726.779,26,6,0
50,32,wrap,2,ap_int<32>,1.0,1.0,10082.08,643.065,0.088,685.679,28,6,0
50,32,wrap,3,ap_int<32>,1.0,1.0,9875.44,685.44,2.804,674.154,26,6,0
50,32,wrap,4,ap_int<32>,1.0,1.0,9812.0,588.378,-12.64,708.039,30,6,0
50,32,saturate,0,ap_int<32>,1.0,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,32,saturate,1,ap_int<32>,1.0,1.0,10002.72,628.031,2.772,726.779,26,6,0
50,32,saturate,2,ap_int<32>,1.0,1.0,10082.08,643.065,0.088,685.679,28,6,0
50,32,saturate,3,ap_int<32>,1.0,1.0,9875.44,685.44,2.804,674.154,26,6,0
50,32,saturate,4,ap_int<32>,1.0,1.0,9812.0,588.378,-12.64,708.039,30,6,0
50,32,scale,0,ap_int<32>,1.0,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,32,scale,1,ap_int<32>,1.0,1.0,10002.72,628.031,2.772,726.779,26,6,0
50,32,scale,2,ap_int<32>,1.0,1.0,10082.08,643.065,0.088,685.679,28,6,0
50,32,scale,3,ap_int<32>,1.0,1.0,9875.44,685.44,2.804,674.154,26,6,0
50,32,scale,4,ap_int<32>,1.0,1.0,9812.0,588.378,-12.64,708.039,30,6,0
500,1,wrap,0,"sign{-1,+1}",0.993257,0.964,355.576,102.295,-2.8,100.283,100,8,0
500,1,wrap,1,"sign{-1,+1}",0.995008,0.978,356.748,102.853,0.058,98.634,92,8,0
500,1,wrap,2,"sign{-1,+1}",0.994148,0.976,358.756,97.6,-2.106,100.594,90,8,0
500,1,wrap,3,"sign{-1,+1}",0.992838,0.962,355.068,103.064,-0.36,100.049,88,8,0
500,1,wrap,4,"sign{-1,+1}",0.995737,0.974,360.528,97.374,-1.234,99.856,84,8,0
500,1,saturate,0,"sign{-1,+1}",0.993257,0.964,355.576,102.295,-2.8,100.283,100,8,0
500,1,saturate,1,"sign{-1,+1}",0.995008,0.978,356.748,102.853,0.058,98.634,92,8,0
500,1,saturate,2,"sign{-1,+1}",0.994148,0.976,358.756,97.6,-2.106,100.594,90,8,0
500,1,saturate,3,"sign{-1,+1}",0.992838,0.962,355.068,103.064,-0.36,100.049,88,8,0
500,1,saturate,4,"sign{-1,+1}",0.995737,0.974,360.528,97.374,-1.234,99.856,84,8,0
500,1,scale,0,"sign{-1,+1}",0.993257,0.964,355.576,102.295,-2.8,100.283,100,8,0
500,1,scale,1,"sign{-1,+1}",0.995008,0.978,356.748,102.853,0.058,98.634,92,8,0
500,1,scale,2,"sign{-1,+1}",0.994148,0.976,358.756,97.6,-2.106,100.594,90,8,0
500,1,scale,3,"sign{-1,+1}",0.992838,0.962,355.068,103.064,-0.36,100.049,88,8,0
500,1,scale,4,"sign{-1,+1}",0.995737,0.974,360.528,97.374,-1.234,99.856,84,8,0
500,2,wrap,0,ap_int<2>,0.493059,0.066,-2.64,147.125,0.1,137.488,100,8,1
500,2,wrap,1,ap_int<2>,0.483269,0.04,-5.592,146.368,0.148,145.312,92,8,1
500,2,wrap,2,ap_int<2>,0.496179,0.056,7.928,150.768,9.848,142.616,90,8,1
500,2,wrap,3,ap_int<2>,0.481335,0.032,-8.616,136.993,0.672,142.045,88,8,1
