function,device,datatype,D,KP,knob,knob_value,knob_dims,other_knobs,isolated_slice,latency,speedup,ideal_speedup,efficiency,LUT,FF,DSP,LUT_growth,return_per_area,class
permute,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,10298.0,1.0,1.0,1.0,775,716,0,1.0,1.0,linear
permute,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,5195.0,1.982,2.0,0.991,1234,1403,0,1.592,1.245,linear
permute,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,5196.0,1.982,4.0,0.495,2537,2726,0,3.274,0.605,sublinear
permute,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,2636.0,3.907,8.0,0.488,4941,5054,0,6.375,0.613,sublinear
place,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,655363.0,1.0,1.0,1.0,247,86,0,1.0,1.0,linear
place,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,327683.0,2.0,2.0,1.0,243,83,0,0.984,2.033,linear
place,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,163843.0,4.0,4.0,1.0,239,80,0,0.968,4.134,linear
place,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,81923.0,8.0,8.0,1.0,235,77,0,0.951,8.408,linear
scale,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,10244.0,1.0,1.0,1.0,154,131,0,1.0,1.0,linear
scale,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,5124.0,1.999,2.0,1.0,194,146,0,1.26,1.587,linear
scale,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,2564.0,3.995,4.0,0.999,274,177,0,1.779,2.246,linear
scale,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,1284.0,7.978,8.0,0.997,434,240,0,2.818,2.831,linear
similarity,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,655364.0,1.0,1.0,1.0,496,164,0,1.0,1.0,linear
similarity,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,327685.0,2.0,2.0,1.0,631,413,0,1.272,1.572,linear
similarity,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,163846.0,4.0,4.0,1.0,642,416,0,1.294,3.09,linear
similarity,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,81926.0,7.999,8.0,1.0,686,417,0,1.383,5.784,linear
threshold,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,10243.0,1.0,1.0,1.0,121,80,0,1.0,1.0,linear
threshold,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,5123.0,1.999,2.0,1.0,160,79,0,1.322,1.512,linear
threshold,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,2564.0,3.995,4.0,0.999,250,174,0,2.066,1.934,linear
threshold,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,1283.0,7.984,8.0,0.998,394,81,0,3.256,2.452,linear
transpose,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,655363.0,1.0,1.0,1.0,274,87,0,1.0,1.0,linear
transpose,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,327683.0,2.0,2.0,1.0,269,84,0,0.982,2.037,linear
transpose,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,163843.0,4.0,4.0,1.0,264,81,0,0.964,4.151,linear
transpose,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,81923.0,8.0,8.0,1.0,259,78,0,0.945,8.463,linear
update,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,10245.0,1.0,1.0,1.0,193,104,0,1.0,1.0,linear
update,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,5125.0,1.999,2.0,1.0,230,172,0,1.192,1.677,linear
update,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,2565.0,3.994,4.0,0.999,306,304,0,1.585,2.519,linear
update,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,1286.0,7.967,8.0,0.996,474,569,0,2.456,3.244,linear
convergence,xcu280-fsvh2892-2L-e,binary,10240,64,CP,1,1,DP=1,1,655363.0,1.0,1.0,1.0,474,131,0,1.0,1.0,linear
convergence,xcu280-fsvh2892-2L-e,binary,10240,64,CP,2,1,DP=1,1,327685.0,2.0,2.0,1.0,675,198,0,1.424,1.404,linear
convergence,xcu280-fsvh2892-2L-e,binary,10240,64,CP,4,1,DP=1,1,163846.0,4.0,4.0,1.0,1095,389,0,2.31,1.731,linear
convergence,xcu280-fsvh2892-2L-e,binary,10240,64,CP,8,1,DP=1,1,81927.0,7.999,8.0,1.0,1955,774,0,4.124,1.939,linear
similarity,xcu280-fsvh2892-2L-e,binary,10240,64,CP,1,1,DP=1,1,655364.0,1.0,1.0,1.0,496,164,0,1.0,1.0,linear
similarity,xcu280-fsvh2892-2L-e,binary,10240,64,CP,2,1,DP=1,1,327685.0,2.0,2.0,1.0,748,363,0,1.508,1.326,linear
similarity,xcu280-fsvh2892-2L-e,binary,10240,64,CP,4,1,DP=1,1,163845.0,4.0,4.0,1.0,864,212,0,1.742,2.296,linear
similarity,xcu280-fsvh2892-2L-e,binary,10240,64,CP,8,1,DP=1,1,81925.0,8.0,8.0,1.0,1351,269,0,2.724,2.937,linear
