CP,WBITS,latency,interval,peak_bw_GBps,LUT,FF,DSP,BRAM18K,URAM,status
1,512,28,16,6.4,3769,2995,0,58,0,ok
2,512,28,16,12.8,7366,5887,0,116,0,ok
4,512,28,16,25.6,14544,11671,0,232,0,ok
8,512,28,16,51.2,28900,23239,0,464,0,ok
