function,device,DP,CP,QB,NP,datatype,memory_space,banking,port_width,latency,latency_unit,LUT,FF,DSP,BRAM18K,URAM,source
convergence,xc7z020,8,8,,,binary,bram,1,,614,cyc/call,5175,1830,0,0,0,parallelism
flatten,xc7z020,1,1,,,binary,bram,1,,16386,cyc/call,181,50,0,0,0,parallelism
flatten,xc7z020,4,1,,,binary,bram,1,,4098,cyc/call,143,46,0,0,0,parallelism
flatten,xc7z020,8,1,,,binary,bram,1,,2050,cyc/call,143,44,0,0,0,parallelism
gather,xc7z020,1,1,,,binary,bram,1,,258,cyc/call,61,20,0,0,0,parallelism
gather,xc7z020,4,1,,,binary,bram,1,,66,cyc/call,45,19,0,0,0,parallelism
gather,xc7z020,8,1,,,binary,bram,1,,34,cyc/call,45,18,0,0,0,parallelism
gemm,xc7z020,1,1,,,binary,bram,1,,262150,cyc/call,436,298,1,0,0,parallelism
gemm,xc7z020,4,1,,,binary,bram,1,,8199,cyc/call,10595,3893,128,0,0,parallelism
gemm,xc7z020,8,1,,,binary,bram,1,,2055,cyc/call,20714,6846,256,0,0,parallelism
init_centroids,xc7z020,1,1,,,binary,bram,1,,2562,cyc/call,179,43,0,0,0,parallelism
init_centroids,xc7z020,4,1,,,binary,bram,1,,642,cyc/call,158,39,0,0,0,parallelism
init_centroids,xc7z020,8,1,,,binary,bram,1,,322,cyc/call,160,37,0,0,0,parallelism
matvec,xc7z020,1,1,,,binary,bram,1,,16389,cyc/call,330,268,1,0,0,parallelism
matvec,xc7z020,4,1,,,binary,bram,1,,528,cyc/call,10572,5164,128,0,0,parallelism
matvec,xc7z020,8,1,,,binary,bram,1,,140,cyc/call,20668,7952,256,0,0,parallelism
normalize,xc7z020,1,1,,,binary,bram,1,,652,cyc/call,1077,744,1,0,0,parallelism
normalize,xc7z020,4,1,,,binary,bram,1,,461,cyc/call,2337,1220,1,0,0,parallelism
normalize,xc7z020,8,1,,,binary,bram,1,,429,cyc/call,4011,1852,1,0,0,parallelism
permute,xc7z020,1,1,,,binary,bram,1,,258,cyc/call,76,20,0,0,0,parallelism
permute,xc7z020,4,1,,,binary,bram,1,,66,cyc/call,307,39,0,0,0,parallelism
permute,xc7z020,8,1,,,binary,bram,1,,34,cyc/call,935,46,0,0,0,parallelism
place,xc7z020,1,1,,,binary,bram,1,,16386,cyc/call,181,50,0,0,0,parallelism
place,xc7z020,4,1,,,binary,bram,1,,4098,cyc/call,143,46,0,0,0,parallelism
place,xc7z020,8,1,,,binary,bram,1,,2050,cyc/call,143,44,0,0,0,parallelism
scale,xc7z020,1,1,,,binary,bram,1,,258,cyc/call,102,52,0,0,0,parallelism
scale,xc7z020,4,1,,,binary,bram,1,,66,cyc/call,209,51,0,0,0,parallelism
scale,xc7z020,8,1,,,binary,bram,1,,34,cyc/call,373,50,0,0,0,parallelism
similarity,xc7z020,1,1,,,binary,bram,1,,2569,cyc/call,539,201,0,0,0,parallelism
similarity,xc7z020,1,2,,,binary,bram,1,,2347,cyc/call,682,216,0,0,0,parallelism
similarity,xc7z020,1,4,,,binary,bram,1,,2346,cyc/call,1175,337,0,0,0,parallelism
similarity,xc7z020,1,8,,,binary,bram,1,,2345,cyc/call,2133,564,0,0,0,parallelism
similarity,xc7z020,4,1,,,binary,bram,1,,650,cyc/call,776,210,0,0,0,parallelism
similarity,xc7z020,4,2,,,binary,bram,1,,620,cyc/call,948,213,0,0,0,parallelism
similarity,xc7z020,4,4,,,binary,bram,1,,618,cyc/call,1513,335,0,0,0,parallelism
similarity,xc7z020,4,8,,,binary,bram,1,,617,cyc/call,2639,563,0,0,0,parallelism
similarity,xc7z020,8,1,,,binary,bram,1,,331,cyc/call,1106,217,0,0,0,parallelism
similarity,xc7z020,8,2,,,binary,bram,1,,341,cyc/call,1376,237,0,0,0,parallelism
similarity,xc7z020,8,4,,,binary,bram,1,,339,cyc/call,2133,370,0,0,0,parallelism
