function,device,DP,CP,QB,NP,datatype,memory_space,banking,port_width,latency,latency_unit,LUT,FF,DSP,BRAM18K,URAM,source
hbm_gather_cp_df,xc7z020,,8,,,binary,offchip,8,512,3.5,cyc/hv,28900,23239,0,464,0,hbm_cp_df
hbm_gather_cp_df,xc7z020,,4,,,binary,offchip,4,512,7.0,cyc/hv,14544,11671,0,232,0,hbm_cp_df
hbm_gather_cp_df,xc7z020,,2,,,binary,offchip,2,512,14.0,cyc/hv,7366,5887,0,116,0,hbm_cp_df
hbm_gather_cp_df,xc7z020,,1,,,binary,offchip,1,512,28.0,cyc/hv,3769,2995,0,58,0,hbm_cp_df
init_centroids,xc7z020,8,1,,,binary,bram,1,,322,cyc/call,160,37,0,0,0,parallelism
init_centroids,xc7z020,4,1,,,binary,bram,1,,642,cyc/call,158,39,0,0,0,parallelism
matvec,xc7z020,8,1,,,binary,bram,1,,140,cyc/call,20668,7952,256,0,0,parallelism
matvec,xc7z020,4,1,,,binary,bram,1,,528,cyc/call,10572,5164,128,0,0,parallelism
matvec,xc7z020,1,1,,,binary,bram,1,,16389,cyc/call,330,268,1,0,0,parallelism
normalize,xc7z020,8,1,,,binary,bram,1,,429,cyc/call,4011,1852,1,0,0,parallelism
normalize,xc7z020,4,1,,,binary,bram,1,,461,cyc/call,2337,1220,1,0,0,parallelism
normalize,xc7z020,1,1,,,binary,bram,1,,652,cyc/call,1077,744,1,0,0,parallelism
offchip_baseline_cp,xc7z020,,8,,,binary,offchip,8,512,6.2,cyc/hv,28359,21967,0,352,0,offchip_base
offchip_baseline_cp,xc7z020,,4,,,binary,offchip,4,512,12.5,cyc/hv,14331,11043,0,176,0,offchip_base
offchip_baseline_cp,xc7z020,,2,,,binary,offchip,2,512,25.0,cyc/hv,7317,5581,0,88,0,offchip_base
offchip_baseline_cp,xc7z020,,1,,,binary,offchip,1,512,50.0,cyc/hv,3806,2849,0,44,0,offchip_base
permute,xc7z020,8,1,,,binary,bram,1,,34,cyc/call,935,46,0,0,0,parallelism
permute,xc7z020,4,1,,,binary,bram,1,,66,cyc/call,307,39,0,0,0,parallelism
permute,xc7z020,1,1,,,binary,bram,1,,258,cyc/call,76,20,0,0,0,parallelism
place,xc7z020,8,1,,,binary,bram,1,,2050,cyc/call,143,44,0,0,0,parallelism
scale,xc7z020,8,1,,,binary,bram,1,,34,cyc/call,373,50,0,0,0,parallelism
scale,xc7z020,4,1,,,binary,bram,1,,66,cyc/call,209,51,0,0,0,parallelism
scale,xc7z020,1,1,,,binary,bram,1,,258,cyc/call,102,52,0,0,0,parallelism
similarity,xc7z020,8,1,,,binary,bram,1,,331,cyc/call,1106,217,0,0,0,parallelism
similarity,xc7z020,4,2,,,binary,bram,1,,620,cyc/call,948,213,0,0,0,parallelism
similarity,xc7z020,4,1,,,binary,bram,1,,650,cyc/call,776,210,0,0,0,parallelism
similarity,xc7z020,1,2,,,binary,bram,1,,2347,cyc/call,682,216,0,0,0,parallelism
similarity,xc7z020,1,1,,,binary,bram,1,,2569,cyc/call,539,201,0,0,0,parallelism
threshold,xc7z020,8,1,,,fixed,bram,1,,34,cyc/call,45,18,0,0,0,datatype
transpose,xc7z020,8,1,,,binary,bram,1,,2050,cyc/call,155,44,0,0,0,parallelism
update,xc7z020,8,1,,,binary,bram,1,,34,cyc/call,357,86,0,0,0,parallelism
update,xc7z020,4,1,,,binary,bram,1,,66,cyc/call,201,54,0,0,0,parallelism
update,xc7z020,1,1,,,binary,bram,1,,258,cyc/call,100,25,0,0,0,parallelism
