P,bits,policy,storage,auc,auc_sd,tpr_mean,tpr_vs_int32,auc_vs_int32,KB_per_ref,blocks_per_ref,blocks_provenance,K_max_on_U280,capacity_gain,overflowed
2000,4,scale,ap_int<4>,0.936875,0.004257,0.6876,-0.0048,-0.002067,5.0,2.2656,scaled from X=1,1779,8.01,1
2000,4,wrap,ap_int<4>,0.504001,0.005739,0.0543,-0.6381,-0.434941,5.0,2.2656,scaled from X=1,1779,8.01,1
2000,8,saturate,ap_int<8>,0.93887,0.003908,0.6938,0.0014,-7.2e-05,10.0,4.5312,measured,889,4.0,1
2000,8,scale,ap_int<8>,0.938955,0.00401,0.6925,0.0001,1.3e-05,10.0,4.5312,measured,889,4.0,1
2000,8,wrap,ap_int<8>,0.924414,0.002512,0.6376,-0.0548,-0.014528,10.0,4.5312,measured,889,4.0,1
2000,16,saturate,ap_int<16>,0.938942,0.004018,0.6924,0.0,0.0,20.0,9.0625,scaled from X=1,444,2.0,0
2000,16,scale,ap_int<16>,0.938942,0.004018,0.6924,0.0,0.0,20.0,9.0625,scaled from X=1,444,2.0,0
2000,16,wrap,ap_int<16>,0.938942,0.004018,0.6924,0.0,0.0,20.0,9.0625,scaled from X=1,444,2.0,0
2000,32,saturate,ap_int<32>,0.938942,0.004018,0.6924,0.0,0.0,40.0,18.125,measured,222,1.0,0
2000,32,scale,ap_int<32>,0.938942,0.004018,0.6924,0.0,0.0,40.0,18.125,measured,222,1.0,0
2000,32,wrap,ap_int<32>,0.938942,0.004018,0.6924,0.0,0.0,40.0,18.125,measured,222,1.0,0
