CP,WBITS,latency,interval,peak_bw_GBps,LUT,FF,DSP,BRAM18K,URAM,status
1,512,50,51,6.4,3806,2849,0,44,0,ok
2,512,50,51,12.8,7317,5581,0,88,0,ok
4,512,50,51,25.6,14331,11043,0,176,0,ok
8,512,50,51,51.2,28359,21967,0,352,0,ok
